"Name","Aliases","Disc. Date","Max Date","Mmax","R.A.","Dec.","z","Type","E(B-V)","References"
"LSQ14an","LSQ14an","2014/01/02","2014/01/02","-20.77","12:53:47.83","-29:31:27.2","0.163","SLSN-I","0.0711","2017arXiv170100941I,2014ATel.5718....1L,2016A&A...594A..13P,2011ApJ...737..103S"
"OGLE15qz","OGLE15qz","2015/11/13","2015/12/24","-22.8","03:08:35.88","-70:30:41.6,-70:30:41.7","0.68","SLSN-I","0.0274","2015ATel.8485....1W,2016A&A...594A..13P,2015ATel.8296....1K,2014Ap&SS.354...89B,2011ApJ...737..103S"
"LSQ14mo","LSQ14mo","2014/01/30","2014/02/04","-21.93","10:22:41.53","-16:55:14.4","0.253","SLSN-I","0.0646","2016arXiv161109910C,2014Ap&SS.354...89B,2014ATel.5839....1L,2016A&A...594A..13P,2011ApJ...737..103S"
"PS1-10bzj","PS1-10bzj","2010/12/04","2010/12/18","-21.4","03:31:39.826","-27:47:42.17","0.65","SLSN-I","0.0068","2013ApJ...771...97L,2017arXiv170801619L,2016A&A...594A..13P,2011ApJ...737..103S"
"PS1-10awh","PS1-10awh","2010/09/28","","-21.59","22:14:29.831,22:14:29.76,22:14:29.829","-00:04:03.62,-00:04:03.36,-00:04:03.70","0.908,0.909","SLSN-I","0.0658","2011ApJ...743..114C,2017arXiv170801619L,2015MNRAS.448.1206M,2016A&A...594A..13P,2011ApJ...737..103S"
"PTF10aagc","PTF10aagc","2010/10/26","2010/10/04","-21.75","09:39:56.923","+21:43:17.09","0.206,0.206","SLSN-I","0.0224","2017arXiv170801623D,2016ApJ...830...13P,2012PASP..124..668Y,2014Ap&SS.354...89B,2016A&A...594A..13P"
"iPTF16bad","iPTF16bad","2016/05/31","2016/05/31","-21.198","17:16:39.73","+28:22:12.6","0.2467","SLSN-I","0.0426","2017arXiv170405061Y,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PS1-11tt","PS1-11tt","2010/07/29","","-21.277","16:12:45.778,16:12:45.84","+54:04:16.96,+54:04:16.68","1.283,1.283","SLSN-I","0.008","2017arXiv170801619L,2015MNRAS.448.1206M,2016A&A...594A..13P,2014ApJ...787..138L,2011ApJ...737..103S"
"DES14X3taz","DES14X3taz","2014/12/09","2015/03/11","-21.78","02:28:04.46","-04:05:12.7","0.608","SLSN-I","0.022","2016ApJ...818L...8S,2015arXiv151206043S,2015ATel.7190....1C,2016A&A...594A..13P,2011ApJ...737..103S"
"PTF10bfz","PTF10bfz","2010/01/01","2010/01/31","-20.974","12:54:41.27,12:54:41.288","+15:24:17.0,+15:24:17.08","0.1701","SLSN-I","0.0176","2017arXiv170801623D,2016ApJ...830...13P,2012PASP..124..668Y,2016A&A...594A..13P,2010ApJ...721..777A"
"LSQ14bdq","LSQ14bdq","2014/04/21","2014/05/20","-21.89","10:01:41.60","-12:22:13.4","0.345","SLSN-I","0.0559","2015ApJ...807L..18N,2014ATel.6118....1B,2016A&A...594A..13P,2011ApJ...737..103S"
"SNLS-07D2bv","SNLS-07D2bv","2007/02/08","2007/03/26","-21.6","","","1.5","SLSN-I","","2013ApJ...779...98H,2016A&A...594A..13P"
"SSS120810:231802-560926","SSS120810:231802-560926","2012/08/10","2012/08/19","-21.89","23:18:01.80,23:18:01.82,23:18:01.92","-56:09:25.6,-56:09:25.7,-56:09:25.56","0.156","SLSN-I","0.0158","2009ApJ...696..870D,2015A&A...579A..40S,2014MNRAS.444.2096N,2016A&A...594A..13P,2012ATel.4313....1W"
"SNLS-06D4eu","SNLS-06D4eu","2006/07/27","2006/10/23","-22.475","22:15:54.291","-18:10:45.56","1.588","SLSN-I","0.0243","2013ApJ...779...98H,2016A&A...594A..13P,2015MNRAS.449..917L,2011ApJ...737..103S"
"SN2012il","SN2012il, CSS120121:094613+195028, PS1-12fo","2012/01/19","2012/01/15","-21.55","09:46:12.91,09:46:12.85","+19:50:28.7,+19:50:28.21,+19:50:28.2","0.175,0.175","SLSN-I","0.0195","2013ApJ...770..128I,2016A&A...594A..13P,2013CBET.3459....1D,2013ApJ...763...42O,2011ApJ...737..103S"
"SN2009cb","SN2009cb, CSS090319:125916+271641, PTF09as","2009/03/19","2009/03/24","-19.963","12:59:15.85,12:59:15.864","+27:16:41.3,+27:16:41.30,+27:16:40.58","0.1867","SLSN-I","0.008","2017arXiv170801623D,2016ApJ...830...13P,2012A&A...538A.120L,2012PASP..124..668Y,2009CBET.1752....1D"
"PS1-11afv","PS1-11afv","2011/05/11","","-21.91","12:15:37.770,12:15:37.68","+48:10:48.62,+48:10:48.36","1.407,1.407","SLSN-I","0.0138","2017arXiv170801619L,2015MNRAS.448.1206M,2016A&A...594A..13P,2014ApJ...787..138L,2011ApJ...737..103S"
"PTF10vqv","PTF10vqv","2010/09/16","2010/10/13","-21.978","03:03:06.80,03:03:06.84,03:03:06.859","-01:32:34.9,-01:32:35.42","0.4518","SLSN-I","0.0557","2017arXiv170801623D,2016ApJ...830...13P,2012PASP..124..668Y,2010ATel.2979....1Q,2016A&A...594A..13P"
"PS15cjz","PS15cjz, DES15S2nr","2015/08/17","2015/09/25","-20.7","02:40:44.62,02:40:44.63","-00:53:26.4,-00:53:26.3","0.22","SLSN-I","0.0293","2014Ap&SS.354...89B,2015ATel.8092....1D,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2016ard","SN2016ard, AT2016ard, CSS160216:141045-100935, PS16aqv","2016/02/16","2016/03/06","-21","14:10:44.55,14:10:44.56","-10:09:35.4,-10:09:35.42","0.2","SLSN-I","0.0433","2016ATel.8790....1C,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009jh","SN2009jh, CSS090802:144910+292510, PTF09cwl","2009/08/02","2009/08/07","-22.454","14:49:10.09,14:49:10.08","+29:25:10.4,+29:25:10.42,+29:25:11.4","0.3499","SLSN-I","0.0141","2017arXiv170801623D,2011Natur.474..484Q,2012PASP..124..668Y,2016ApJ...830...13P,2012A&A...538A.120L"
"PTF10uhf","PTF10uhf","2010/08/25","2010/09/18","-20.907","16:52:46.696","+47:36:21.76","0.2882","SLSN-I","0.0176","2017arXiv170801623D,2016ApJ...830...13P,2012PASP..124..668Y,2016A&A...594A..13P,2011ApJ...737..103S"
"PTF10bjp","PTF10bjp","2010/01/09","2010/02/16","-20.838","10:06:34.30","+67:59:19.0","0.3584","SLSN-I","0.0527","2017arXiv170801623D,2016ApJ...830...13P,2012PASP..124..668Y,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2016els","SN2016els, AT2016els, PS16dnq","2016/07/29","2016/08/04","-21.7","20:30:13.92,20:30:13.920","-10:57:01.81,-10:57:01.8","0.217,0.217","SLSN-I","0.0467","2014Ap&SS.354...89B,2016ATel.9308....1M,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2016aj","SN2016aj, AT2016aj, PS16op","2016/01/11","2016/01/25","-22.07","12:59:00.84,12:59:00.83","-26:07:40.56,-26:07:40.5","0.485,0.485","SLSN-I","0.0662","2016ATel.8555....1D,2014Ap&SS.354...89B,2016A&A...594A..13P,2011ApJ...737..103S"
"SCP-06F6","SCP-06F6, J143227.42+333225.1","2006/01/03","2006/05/21","-22.733","14:32:27.395","+33:32:24.83","1.189,1.189,1.189","SLSN-I","0.0083","2009ApJ...690.1358B,2016A&A...594A..13P,2011Natur.474..487Q,2011ApJ...737..103S"
"SN2017faf","SN2017faf, AT2017faf, ATLAS17hpt, PS17egb","2017/06/28","2017/06/28","-18.08","17:34:39.98,17:34:39.980","+26:18:22.00,+26:18:21.9","0.0295","SLSN-I","0.0482","2016A&A...594A..13P,2011ApJ...737..103S"
"CSS160710:160420+392813","CSS160710:160420+392813, MLS160616:160420+392813","2016/07/10","2016/07/09","-22.1","16:04:19.545,16:04:19.44","+39:28:12.65,+39:28:13.08","0.18","SLSN-I","0.0096","2009ApJ...696..870D,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2017gci","SN2017gci, AT2017gci, Gaia17cbp","2017/08/12","2017/08/12","-21","06:46:45.03,06:46:45.026,06:46:45.12","-27:14:55.86,-27:14:56.04","0.09,0.09","SLSN-I","0.1105","2016A&A...594A..13P,2011ApJ...737..103S"
"CSS140925:005854+181322","CSS140925:005854+181322","2014/09/25","2014/09/24","-21.8","00:58:54.11,00:58:54.12","+18:13:22.2","0.46","SLSN-I","0.0568","2016A&A...594A..13P,2014ATel.6524....1C,2014ATel.6523....1C,2011ApJ...737..103S"
"LSQ14fxj","LSQ14fxj","2014/10/12","2014/10/11","-20.8","02:39:12.61","+03:19:29.6","0.36","SLSN-I","0.031","2014ATel.6622....1G,2016A&A...594A..13P,2014ATel.6620....1G,2014ATel.6739....1S,2011ApJ...737..103S"
"DES15C3hav","DES15C3hav","2015/10/15","2015/11/08","-17.94","03:31:52.17","-28:15:09.5","0.392","SLSN-I","0.0077","2016ATel.8952....1C,2016A&A...594A..13P,2011ApJ...737..103S"
"DES15X1noe","DES15X1noe","2015/12/08","2016/01/27","-19.671","02:14:41.93","-04:52:54.5","1.188","SLSN-I","0.0177","2016ATel.8627....1C,2016A&A...594A..13P,2011ApJ...737..103S"
"DES15X3hm","DES15X3hm","2015/08/14","2015/09/07","-21.8","02:26:54.96","-05:03:38.0","0.86","SLSN-I","0.0237","2015ATel.8079....1S,2016A&A...594A..13P,2011ApJ...737..103S"
"DES16C2nm","DES16C2nm","2016/08/22","2016/08/21","-21.617","03:40:14.83,03:40:14.830","-29:05:53.5,-29:05:53.50","1.998","SLSN-I","0.0123","2016ATel.9700....1G,2016A&A...594A..13P,2011ApJ...737..103S"
"DES16C3dmp","DES16C3dmp","2016/11/08","2016/12/19","-16.959","03:31:28.350","-28:32:28.30","0.5652","SLSN-I","0.0068","2016A&A...594A..13P,2011ApJ...737..103S"
"MLS150612:112519+081418","MLS150612:112519+081418, PS15br, CSS150226:112519+081418","2015/02/16","2015/03/29","-22.03","11:25:19.23,11:25:19.22,11:25:19.24,11:25:19.2","+08:14:18.5,+08:14:18.6,+08:14:18.3,+08:14:18.348","0.101","SLSN","0.0449","2015ATel.7209....1F,2009ApJ...696..870D,2014Ap&SS.354...89B,2016A&A...594A..13P,2011ApJ...737..103S"
"SDSS-II SN 2538","SDSS-II SN 2538","2005/09/09","2005/10/31","","03:29:18.12,03:29:18.072","-00:24:08.2476,-00:24:08.5248","","SLSN","0.0813","2014arXiv1401.3317S,2011ApJ...737..103S"
"SDSS-II SN 17789","SDSS-II SN 17789","2007/09/05","2007/09/16","","01:29:16.128,01:29:16.104","+00:42:37.883,+00:42:37.505","","SLSN","0.0218","2014arXiv1401.3317S,2011ApJ...737..103S"
"SN2006oz","SN2006oz, SDSS-II SN 15557","2006/10/20","2006/11/28","-21.45","22:08:53.56,22:08:53.52","+00:53:50.4,+00:53:50.46,+00:53:50.222,+00:53:50.39","0.376","SLSN","0.0403","2012A&A...541A.129L,2014arXiv1401.3317S,2012A&A...538A.120L,2006CBET..762....8G,2016A&A...594A..13P"
"OGLE15sd","OGLE15sd","2015/11/07","2015/11/28","-22.35","01:42:21.46,01:42:21.47","-71:47:15.6","0.565","SLSN","0.0372","2015ATel.8485....1W,2016A&A...594A..13P,2015ATel.8369....1B,2014Ap&SS.354...89B,2011ApJ...737..103S"
"DES15E2mlf","DES15E2mlf","2015/11/07","2015/12/29","-22.299","00:41:33.40","-43:27:17.2","1.861","SLSN","0.0086","2017arXiv170706649P,2015ATel.8460....1P,2016A&A...594A..13P,2011ApJ...737..103S"
"DES14S2qri","DES14S2qri","2014/11/18","2015/01/20","-21.1","02:43:32.14","-01:07:34.2","1.5","SLSN","0.0276","2015ATel.7199....1C,2016A&A...594A..13P,2011ApJ...737..103S"
"OGLE16dmu","OGLE16dmu","2016/09/23","2016/09/22","-21.93","04:48:26.34","-62:20:10.6","0.426","SLSN","0.0271","2016ATel.9543....1W,2016A&A...594A..13P,2011ApJ...737..103S"
"Howerton-A8","Howerton-A8","2011/04/08","","","14:14:03.1","+35:23:12","","SLSN","0.0201","2017csnh.book.....H,2011ApJ...737..103S"
"SN2011kl","SN2011kl, GRB 111209A","2011/12/14","","","00:57:22.64","-46:48:03.6,-46:48:03.60","0.677,0.677","SLSN","0.0145","2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2008fz","SN2008fz, CSS080922:231617+114247, CSS080922:231617+114248","2008/09/22","2008/09/21","-22.42","23:16:16.60","+11:42:47.5,+11:42:47.48","0.133,0.13,0.133","IIn","0.0365","2008CBET.1524....2H,2012A&A...538A.120L,2016A&A...594A..13P,2008CBET.1524....1D,2010ApJ...718L.127D"
"SN2008es","SN2008es, ROTSE3 J115649.1+542725.7, ROTSE3 J115649.1+542726","2008/04/26","2008/05/13","-23.06","11:56:49.13","+54:27:25.7,+54:27:25.70","0.202,0.206,0.205","II P","0.0102","2009ApJ...690.1303M,2014Ap&SS.354...89B,2009ApJ...690.1313G,2014MNRAS.445..554F,2008CBET.1462....2C"
"SN2008am","SN2008am","2008/01/10","2008/02/09","-23.567","12:28:36.25","+15:34:49.1,+15:34:49.12,+15:34:49.11","0.2338","II","0.0215","2011ApJ...729..143C,2014Ap&SS.354...89B,2012A&A...538A.120L,2008CBET.1262....4G,2016A&A...594A..13P"
"SN2010kd","SN2010kd","2010/11/14","2010/12/19","-22","12:08:01.11","+49:13:31.1,+40:13:31.12","0.1,0.1","II","0.0197","2013ApJ...773...76C,2014Ap&SS.354...89B,2012A&A...538A.120L,2010CBET.2556....1V,2016A&A...594A..13P"
"SN2006gy","SN2006gy","2006/09/18","2006/10/27","-20.2","03:17:27.06","+41:24:19.5,+41:24:19.51,+03:17:27.06","0.01919","II","0.1367","2010ApJ...709..856S,2007ApJ...666.1116S,2017arXiv170601030H,2012A&A...538A.120L,2007ApJ...659L..13O"
"SN2005ap","SN2005ap","2005/03/03","2005/03/10","-22.448","13:01:14.84","+27:43:31.4,+27:43:31.40","0.2832","II","0.0072","2007ApJ...668L..99Q,2012A&A...538A.120L,2005IAUC.8492....3M,2016A&A...594A..13P,2005IAUC.8492....1P"
"SN2006tf","SN2006tf, CSS070320:124616+112555","2006/12/12","2007/01/12","-20.9","12:46:15.81,12:46:15.82","+11:25:55.4,+11:25:56.3,+11:25:56.32","0.074,0.074","II","0.0234","2007IAUC.8790....2Q,2012A&A...538A.120L,2016A&A...594A..13P,2009ApJ...696..870D,2008ApJ...686..467S"
"SN2015bn","SN2015bn, PS15ae, CSS141223:113342+004332, MLS150211:113342+004333","2015/02/15","2015/03/19","-22.874","11:33:41.57,11:33:41.55,11:33:41.52","+00:43:32.2,+00:43:33.50,+00:43:32.3,+00:43:33.46","0.1136","Ic","0.0221","2016ApJ...826...39N,2014Ap&SS.354...89B,2016ApJ...828L..18N,2009ApJ...696..870D,2017ApJ...835...13J"
"SN2011kf","SN2011kf, CSS111230:143658+163057","2011/12/30","2011/12/30","-21.68","14:36:57.53","+16:30:56.6,+16:30:56.59","0.245,0.245","Ic","0.019","2013ApJ...770..128I,2013CBET.3463....2I,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2013hx","SN2013hx, SMT J013533283-5757506","2013/12/31","2014/02/21","-22.14","01:35:33.28","-57:57:50.6,-57:57:50.62","0.135,0.135","Ic","0.0217","2016arXiv160708526C,2014Ap&SS.354...89B,2014CBET.3836....1S,2016A&A...594A..13P,2008yCat....1.2024B"